Nirp Bhandari
Avantika Shetty
Radhika Chetan
Saikmar
Ananth Vel
Arvind Rao
Sidd Moolimani
Sriimrali
Rachita Ram
Pneeth Rajkmar
Anjali
Adah Sharma
Girish Karnad
Rangayana Ragh
Vikram Singh
Shiva Rajkmar
Karnya Ram
Nabha Natesh
Sharan
Haripriya
Yathiraj Jaggesh
Ar Gowda
Aishwarya Nag
Nithya Ram
Dhrva Sarja
Pradeep
Kannika Tiwari
Sdeep
Vivek Narasimhan
Deepa Sannidhi
Anish Tejeshwar
Sindh Lokanath
Chiranjeevi Sarja
Sameera Reddy
Nikeesha Patel
P. Ravi Shankar
Ganesh
Amlya
Bhavana
Yogesh
Komal Kmar
Parl Yadav
Rekha Vedavyas
Ravichandran
Daisy Bopanna
Harshika Poonacha
Tarn Chandra
Bhama
Sanjjanaa
Radhika Pandit
Raj Talikote
Rakesh Adiga
Nidhi Sbbaiah
Priyamani
Jackie Shroff
Ramya
Sman Ranganathan
Diganth
Aindrita Ray
Aditya
Atl Klkarni
Aakanksha Manskhani
Nagathihalli Chandrashekhar
Tabla Nani
Srinagar Kitty
Radhika Pandit 
Darshan
R. Sarathkmar
Yash
Oviya
Vishnvardhan
Avinash
Akhil Sahni
Sandhya
Vimala Raman
Lakshmi Gopalaswamy
Srinivasa Mrthy
Ramesh Bhat
Shivrajkmar
Sadha
Sanjana 
Ambarish
Nidhi Sbbaiah 
Ajay Rao
Umashri
Achyth Kmar
Pradeep Bogadi
Harsha
Chandra
Anant Nag
Rajesh Krishnan
Neeth
Bhavana Rao
Upendra
Pooja Gandhi
Natanya Singh
Brindha Parekh
Sman Ranganath
Saloni Aswani
Roma
Tara
An Prabhakar
Shbha Poonja
Sangeetha Shetty
Manasi
Skanda
Manoj
Vijay Raghavendra
Naga Kiran
Jennifer Kotwal 
Shrti
Rashmi
Nandita
Prajwal Devaraj
Sadh Kokila
Komal
Harish
Kiran Srinivas
Shasi
Golden Star Ganesh






































Rekha Vedavyas

Avinash

Komal Kmar
Ganesh
Amoolya
Komal Kmar
Kamal Haasan
Ramesh Arvind
Shrthi
Daisy Bopanna
Urvashi
Anirdh
Sondarya
Ramesh Aravind
Vishnvardhan (actor)
Avinash
Prema
Dwarakish 
Puneeth Rajkmar
Anitha
Shivarajkmar
Shilpa
Sdeep
Rekha Vedavyas
Shivarajkmar
Upendra
Sonali Bendre
Girish Karnad
Tara
