 John Cho
Simon Pegg
Chris Pine
Zachary Qinto
Zoe Saldana
Karl Urban
Anton Yelchin
Idris Elba 
David Oyelowo
Lpita Nyongo 
Madina Nalwanga 
Ginnifer Goodwin
Jason Bateman
Idris Elba
Jenny Slate
Nate Torrence
Bonnie Hnt
Don Lake
Tommy Chong
J. K. Simmons
Octavia Spencer
Alan Tdyk
Shakira 
Lois C.K.
Eric Stonestreet
Kevin Hart
Steve Coogan
Ellie Kemper
Bobby Moynihan
Lake Bell
Dana Carvey
Hannibal Bress
Jenny Slate
Albert Brooks 
Jesse Eisenberg
Mark Rffalo
Woody Harrelson
Dave Franco
Daniel Radcliffe
Lizzy Caplan
Jay Cho
Sanaa Lathan
Michael Caine
Morgan Freeman 
Mila Knis
Kristen Bell
Kathryn Hahn
Annie Mmolo
Jay Hernandez
Jada Pinkett Smith
Christina Applegate 
Harrison Ford
Mark Hamill
Carrie Fisher
Adam Driver
Daisy Ridley
John Boyega
Oscar Isaac
Lupita Nyongo 
Andy Serkis
Domhnall Gleeson
Anthony Daniels
Peter Mayhew
Max von Sydow 
Arnold Schwarzenegger
Jason Clarke
Emilia Clarke
Jai Cortney
J. K. Simmons
Dayo Okeniyi
Matt Smith
Cortney B. Vance
Lee Byng-hn 
Chris Pratt
Bryce Dallas Howard
Vincent DOnofrio 
Ty Simpkins
Nick Robinson
Omar Sy
B. D. Wong
Irrfan Khan 
Vin Diesel
Pal Walker
Dwayne Johnson
Michelle Rodrigez
Tyrese Gibson
Chris Bridges
Jordana Brewster
Djimon Honso
Krt Rssell
Jason Statham 
Raymond Ochoa
Jack Bright
Sam Elliott
Anna Paqin
A.J. Bckley
Steve Zahn
Jeffrey Wright
Frances McDormand 
Ed Skrein
Ray Stevenson
Loan Chabanol
Gabriella Wright
Tatjana Pajkovi\0107
Wenxia Y
Radivoje Bkvi\0107
Lenn Kdrjawizki
Anatole Tabman
No\xe9mie Lenoir 
Tom Crise
Emily Blnt
Bill Paxton
Brendan Gleeson 
Andy Serkis
Jason Clarke
Gary Oldman
Keri Rssell
Toby Kebbell
Kodi Smit-McPhee 
Benedict Cmberbatch
Keira Knightley
Matthew Goode
Rory Kinnear
Charles Dance
Mark Strong 
Jonah Hill
Channing Tatm
Peter Stormare
Ice Cbe 
Ralph Fiennes
F. Mrray Abraham
Mathie Amalric
Adrien Brody
Willem Dafoe
Jeff Goldblm
Harvey Keitel
Jde Law
Bill Mrray
Edward Norton
Saoirse Ronan
Jason Schwartzman
L\xe9a Seydox
Tilda Swinton
Tom Wilkinson
Owen Wilson
Tony Revolori 
Tom McGrath
Chris Miller
Christopher Knights
Conrad Vernon
Benedict Cmberbatch
Ken Jeong
Annet Mahendr
Peter Stormare
John Malkovich 
Tom Hanks
Robin Wright
Gary Sinise
Mykelti Williamson
Sally Field 
Marlon Brando
Al Pacino
James Caan
Richard Castellano
Robert Dvall
Talia Shire
Sterling Hayden
John Marley
Richard Conte
Diane Keaton 
Robert De Niro
Ray Liotta
Joe Pesci
Lorraine Bracco
Pal Sorvino 
Leonardo DiCaprio
Ken Watanabe
Joseph Gordon-Levitt
Marion Cotillard
Ellen Page
Tom Hardy
Cillian Mrphy
Tom Berenger
Michael Caine 
 Tim Robbins
Morgan Freeman
Bob Gnton
William Sadler
Clancy Brown
Gil Bellows
James Whitmore 
Brad Pitt
Edward Norton
Helena Bonham Carter
Meat Loaf Aday
Jared Leto 
Kean Reeves
Larence Fishbrne
Carrie-Anne Moss
Hgo Weaving
Joe Pantoliano 
Michael J. Fox
Christopher Lloyd
Lea Thompson
Crispin Glover 
Anne Bancroft
Dstin Hoffman
Katharine Ross
Tom Hanks
Edward Brns
Matt Damon
Tom Sizemore 
William Holden
Jack Hawkins
Alec Ginness
Sesse Hayakawa
James Donald
Andr\xe9 Morell
Peter Williams
John Boxer
Percy Herbert
Harold Goodwin
Ann Sears
Geoffrey Horne 
Orson Welles
Joseph Cotten
Dorothy Comingore
Everett Sloane
Ray Collins
George Coloris
Agnes Moorehead
Pal Stewart
Rth Warrick
Erskine Sanford
William Alland 
Marlon Brando
Karl Malden
Lee J. Cobb
Rod Steiger
Eva Marie Saint
 Leonardo DiCaprio
Matt Damon
Jack Nicholson
Mark Wahlberg
Martin Sheen
Ray Winstone
Vera Farmiga
Alec Baldwin 
Daniel Day-Lewis
Pal Dano
Kevin J. OConnor 
Ciar\xe1n Hinds
Dillon Freasier 
Ellen Brstyn
Jared Leto
Jennifer Connelly
Marlon Wayans 
Billy Crdp
Frances McDormand
Kate Hdson
Jason Lee
Patrick Fgit
Anna Paqin
Fairza Balk
Noah Taylor
Philip Seymor Hoffman
Albert Brooks
Ellen DeGeneres
Alexander Gold
Willem Dafoe 
 Jeremy Renner
Anthony Mackie
Brian Geraghty
Christian Camargo
Ralph Fiennes
David Morse
Gy Pearce 
Mike Myers
Eddie Mrphy
Cameron Diaz
John Lithgow 
Craig T. Nelson
Holly Hnter
Sarah Vowell
Spencer Fox
Jason Lee
Samel L. Jackson
Elizabeth Pe\xf1a
Brad Bird 
Jlia Sawalha
Mel Gibson
Timothy Spall
Phil Daniels
Tony Haygarth
Miranda Richardson 
Christian Bale
Michael Caine
Gary Oldman
Liam Neeson
Katie Holmes
Cillian Mrphy
Tom Wilkinson
Rtger Haer
