Star Trek Beyond,Star Trek Beyond is a 2016 American science fiction adventure film directed by Justin Lin from a screenplay by Simon Pegg and Doug Jung# based on the series Star Trek# created by Gene Roddenberry. It is the thirteenth film in the Star Trek film franchise and the third installment in the reboot series# following Star Trek (2009) and Star Trek Into Darkness (2013). Chris Pine and Zachary Quinto reprise their roles as Captain James T. Kirk and Commander Spock# with Pegg# Karl Urban# Zoe Saldana# John Cho# and Anton Yelchin reprising their roles from the previous films. Idris Elba and Sofia Boutella also join the cast.Principal photography began in Vancouver on June 25# 2015. The film premiered in Sydney on July 7# 2016 and was released in the United States on July 22# 2016. The film is dedicated to the memory of Yelchin# who died a month prior to the film's release# as well as fellow Star Trek actor Leonard Nimoy# who died during pre-production. The film received positive reviews# with many critics praising the performances# action scenes# musical score# visual effects# and tributes to Yelchin and Nimoy# and has grossed close to $338 million worldwide.,https://upload.wikimedia.org/wikipedia/en/b/ba/Star_Trek_Beyond_poster.jpg,04-03-2016,Justin Lin,-,-,English,90,8.6,Action
Queen of Katwe,Queen of Katwe is a 2016 American biographical sports drama film directed by Mira Nair and written by William Wheeler. Starring David Oyelowo# Lupita Nyong'o and Madina Nalwanga# the film depicts the life of Phiona Mutesi# a Ugandan chess prodigy from Katwe who becomes a Woman Candidate Master after her performances at World Chess Olympiads. The film also had its South African Johannesburg Premiere on 6 October 2016.Adapted from an ESPN magazine and book by Tim Crothers# the film was produced by Walt Disney Pictures and ESPN Films. Queen of Katwe was screened at the 2016 Toronto International Film Festival. The film had a limited release in the United States on September 23# 2016 and a general theatrical release on September 30. The film garnered critical praise for its cast# setting and subject matter; elements regarded as rare for a major American studio release.,https://upload.wikimedia.org/wikipedia/en/9/90/Queen_of_Katwe_poster.jpg,10-09-2016,Mira Nair,-,-,English,168,9.6,Comedy
Zootopia,Zootopia (released as Zootropolis in some countries) is a 2016 American 3D computer-animated buddy comedy adventure film produced by Walt Disney Animation Studios and released by Walt Disney Pictures. It is the 55th Disney animated feature film. The film is directed by Byron Howard and Rich Moore# co-directed by Jared Bush# and starring the voices of Ginnifer Goodwin# Jason Bateman# Idris Elba# Jenny Slate# Nate Torrence# Bonnie Hunt# Don Lake# Tommy Chong# J. K. Simmons# Octavia Spencer# Alan Tudyk and Shakira. The film details the unlikely partnership between a rabbit police officer and a red fox con artist as they uncover a conspiracy that involves the disappearance of predator inhabitants of a mammalian metropolis.Zootopia premiered at the Brussels Animation Film Festival in Belgium on February 13# 2016# and went into general theatrical release in conventional 2D# Disney Digital 3D# RealD 3D and IMAX 3D formats in the United States on March 4# 2016. The film was praised for its story# animation# voice cast# humor and themes about discrimination and social stereotypes. It opened to record-breaking box office success in several countries and has earned a worldwide gross of over $1 billion# making it the second-highest-grossing film of 2016 and the 24th-highest-grossing film of all time.,https://upload.wikimedia.org/wikipedia/en/e/ea/Zootopia.jpg,13-02-2016,-,-,Clark Spencer,English,101,7.2,Tragedy
The Secret Life of Pets,The Secret Life of Pets is a 2016 American 3D computer-animated adventure comedy film produced by Illumination Entertainment. It is directed by Chris Renaud and co-directed by Yarrow Cheney and written by Brian Lynch# Cinco Paul and Ken Daurio. The film stars Louis C.K.# Eric Stonestreet# Kevin Hart# Steve Coogan# Ellie Kemper# Bobby Moynihan# Lake Bell# Dana Carvey# Hannibal Buress# Jenny Slate# and Albert Brooks.The Secret Life of Pets premiered at the Annecy International Animated Film Festival on June 16# 2016 and was released to theatres in the United States on July 8# 2016 by Universal Pictures. Upon release# it received positive critical reviews and grossed $849 million worldwide# becoming the highest grossing original animated film not produced by Disney or Pixar.,https://upload.wikimedia.org/wikipedia/en/6/64/The_Secret_Life_of_Pets_poster.jpg,16-06-2016,-,-,-,English,154,8.6,Comedy
Now You See Me 2,Now You See Me 2 is a 2016 American heist thriller film directed by Jon M. Chu and written by Ed Solomon. The film stars an ensemble cast that includes Jesse Eisenberg# Mark Ruffalo# Woody Harrelson# Dave Franco# Daniel Radcliffe# Lizzy Caplan# Jay Chou# Sanaa Lathan# Michael Caine and Morgan Freeman. It is sequel to the 2013 film Now You See Me and follows the Four Horsemen who resurface and are forcibly recruited by a tech genius to pull off an almost impossible heist.On July 3# 2013# a sequel to Now You See Me was officially announced to be in development. Filming began in November 2014 and lasted until May 2015. The film was released on June 10# 2016 by Summit Entertainment# and received mixed reviews from critics# grossing over $331 million worldwide. However# it was a disappointment in the domestic box office as it failed to exceed $100 million.As well as starring in the film# Jay Chou also composed and sung the ending theme  Now You See Me .,https://upload.wikimedia.org/wikipedia/en/9/9a/Now_You_See_Me_2_poster.jpg,06-06-2016,Jon M. Chu,-,-,English,107,8.3,Thriller
Bad Moms,Bad Moms is a 2016 American comedy film directed and written by Jon Lucas and Scott Moore. The film stars an ensemble cast that includes Mila Kunis# Kristen Bell# Kathryn Hahn# Jay Hernandez# Jada Pinkett Smith and Christina Applegate.Principal photography began on January 11# 2016 in New Orleans. The film premiered on July 19# 2016 in New York City and was theatrically released on July 29# 2016 by STX Entertainment. It received mixed to positive reviews from critics and has grossed over $170 million. It became the first film from STX Entertainment to cross $100 million domestically.,https://upload.wikimedia.org/wikipedia/en/7/70/Bad_Moms_poster.jpg,19-07-2016,-,-,-,English,95,8.1,Tragedy
Star Wars: The Force Awakens,Star Wars: The Force Awakens (also known as Star Wars: Episode VII  €“ The Force Awakens) is a 2015 American space opera epic film directed# co-produced and co-written by J. J. Abrams# and marks a break in creative control from the original series. The first installment of the Star Wars sequel trilogy# it stars Harrison Ford# Mark Hamill# Carrie Fisher# Adam Driver# Daisy Ridley# John Boyega# Oscar Isaac# Lupita Nyong'o# Andy Serkis# Domhnall Gleeson# Anthony Daniels# Peter Mayhew# and Max von Sydow. Produced by Lucasfilm Ltd. and Abrams' production company Bad Robot Productions and distributed worldwide by Walt Disney Studios Motion Pictures# The Force Awakens is set 30 years after Return of the Jedi; it follows Rey# Finn# and Poe Dameron's search for Luke Skywalker and their fight alongside the Resistance# led by veterans of the Rebel Alliance# against Kylo Ren and the First Order# a successor group to the Galactic Empire.The Force Awakens was announced after Disney's acquisition of Lucasfilm in October 2012. It was produced by Abrams# his longtime collaborator Bryan Burk# and Lucasfilm president Kathleen Kennedy. Abrams and Lawrence Kasdan# co-writer of the original trilogy films The Empire Strikes Back (1980) and Return of the Jedi (1983)# rewrote an initial script by Michael Arndt. John Williams# composer for the previous six films# returned to compose the film's score.,https://upload.wikimedia.org/wikipedia/en/a/a2/Star_Wars_The_Force_Awakens_Theatrical_Poster.jpg,08-07-2016,J. J. Abrams,-,-,English,106,7.8,Action
Terminator Genisys,Terminator Genisys is a 2015 American science fiction action film directed by Alan Taylor and written by Laeta Kalogridis and Patrick Lussier. The fifth installment in the Terminator franchise# following 2009's Terminator Salvation# the film stars Arnold Schwarzenegger (reprising his role as the eponymous character)# Jason Clarke# Emilia Clarke and Jai Courtney. The plot follows soldier Kyle Reese in the war against Skynet; Reese is sent from the year 2029 to 1984 by John Connor# leader of the Human Resistance# to protect Connor's mother Sarah. When Reese arrives in the past# he discovers that the timeline has been altered and Sarah has been raised by a reprogrammed Terminator.Megan Ellison and her production company# Annapurna Pictures# acquired the franchise rights in May 2011. The following year# production of another installment in the series was set up in collaboration with Skydance Productions (owned by Ellison's brother# David). The Ellisons consulted Terminator creator James Cameron in the hope of returning to the spirit of the original film and its sequel# Terminator 2: Judgment Day. Principal photography was primarily in New Orleans# with some in the on-screen setting of San Francisco.,https://upload.wikimedia.org/wikipedia/en/b/bc/Terminator_Genisys.JPG,22-06-2015,Alan Taylor,-,-,English,185,7,Romance
Jurassic World,Jurassic World is a 2015 American science fiction adventure film and the fourth installment of the Jurassic Park series. It was directed and co-written by Colin Trevorrow# produced by Frank Marshall and Patrick Crowley# and stars Chris Pratt and Bryce Dallas Howard. The production companies were Steven Spielberg's Amblin Entertainment# also responsible for the rest of the franchise# and Thomas Tull's Legendary Pictures. Set 22 years after the events of Jurassic Park# Jurassic World takes place on the same fictional island of Isla Nublar# off the Pacific coast of Central America# where a theme park populated with cloned dinosaurs has operated for ten years. The park plunges into chaos when a genetically created dinosaur breaks loose and goes on a rampage across the island.Universal Pictures intended to begin production on a fourth Jurassic Park film in 2004 for a summer 2005 release# but the film entered over a decade of development hell while the script went through revisions. Following a suggestion from Spielberg# writers Rick Jaffa and Amanda Silver explored the idea of a functional dinosaur park. Once Trevorrow was hired as director in 2013# he followed the same idea while developing a whole new script with Derek Connolly.,https://upload.wikimedia.org/wikipedia/en/6/6e/Jurassic_World_poster.jpg,29-05-2015,Colin Trevorrow,-,-,English,192,6.8,Action
Furious 7,Furious 7 (often stylized as Furious Seven and alternatively known as Fast 7 or Fast & Furious 7) is a 2015 American action film directed by James Wan and written by Chris Morgan. It is the seventh installment in the Fast and the Furious franchise. The film stars Vin Diesel# Paul Walker# Dwayne Johnson# Michelle Rodriguez# Tyrese Gibson# Chris Bridges# Jordana Brewster# Kurt Russell# and Jason Statham. Furious 7 follows Dominic Toretto (Diesel)# Brian O'Conner (Walker) and the rest of their team# who have returned to the United States to live normal lives after securing amnesty for their past crimes in Fast & Furious 6 (2013)# until Deckard Shaw (Statham)# a rogue special forces assassin seeking to avenge his comatose younger brother# puts them in danger once again.With the previous three installments set between 2 Fast 2 Furious (2003) and The Fast and the Furious: Tokyo Drift (2006)# Furious 7 is the first installment in the franchise to take place after Tokyo Drift. The film also marks the final film appearance of Walker# who died in a single-vehicle crash on November 30# 2013# with filming only half-completed. Following Walker's death# filming was delayed for script rewrites# and his brothers# Caleb and Cody# were used among others as stand-ins to complete his remaining scenes.Plans for a seventh installment were first announced in February 2012 when Johnson stated that production on the film would begin after the completion of Fast & Furious 6.,https://upload.wikimedia.org/wikipedia/en/b/b8/Furious_7_poster.jpg,01-04-2015,James Wan,Chris Morgan,-,English,163,7.5,Romance
The Good Dinosaur,The Good Dinosaur is a 2015 American 3D computer-animated comedy adventure film produced by Pixar Animation Studios and released by Walt Disney Pictures. The film is directed by Peter Sohn in his directorial debut from a screenplay by Meg LeFauve from an original idea by Bob Peterson. Set on a fictional Earth in which dinosaurs never became extinct# the film follows a young Apatosaurus named Arlo# who meets an unlikely human friend while traveling through a harsh and mysterious landscape. The film features the voices of Raymond Ochoa# Jack Bright# Sam Elliott# Anna Paquin# A.J. Buckley# Steve Zahn# Jeffrey Wright# and Frances McDormand.Peterson# who came up with the idea for the story# directed the film until August 2013. In October 2014# Sohn was announced as the new director. The film# along with Inside Out# marks the first time that Pixar has released two feature films in the same year.The Good Dinosaur premiered on November 10# 2015 in Paris.,https://upload.wikimedia.org/wikipedia/en/8/80/The_Good_Dinosaur_poster.jpg,10-11-2015,Peter Sohn,-,Denise Ream,English,159,7.2,Thriller
The Transporter Refueled,The Transporter Refueled (French: Le Transporteur : HÃ©ritage) is a 2015 French action film directed by Camille Delamarre and written by Bill Collage# Adam Cooper# and Luc Besson. It is the fourth film in the Transporter franchise and the first film to be distributed by EuropaCorp in North America# but features a new cast# with Ed Skrein replacing Jason Statham as the title role of Frank Martin. It is the first installment of a planned Transporter reboot trilogy.Filming began on 1 August 2014# in Paris# France. The film was released on 4 September 2015 in the United States and 9 September in France.,https://upload.wikimedia.org/wikipedia/en/2/2c/%22The_Transporter_Refueled%22_poster.jpg,23-09-2016,Camille Delamarre,-,-,English,182,8.7,Thriller
Edge of Tomorrow,Edge of Tomorrow (alternatively known by its tagline Live. Die. Repeat. and marketed as such on home release) is a 2014 American military science fiction film starring Tom Cruise and Emily Blunt. Doug Liman directed the film based on a screenplay adapted from the 2004 Japanese light novel All You Need Is Kill by Hiroshi Sakurazaka. The film takes place in the year 2020 where Earth is invaded by an alien race called the Mimics# which hit Earth in 2015 via meteorite. Cruise plays Bill Cage# a public relations officer with no combat experience# who is ordered by his superior to film the first wave of a crucial landing operation against the aliens. Though Cage is killed in combat# he finds himself in a time loop that sends him back to the day preceding the battle every time he dies.,https://upload.wikimedia.org/wikipedia/en/f/f9/Edge_of_Tomorrow_Poster.jpg,28-05-2014,Doug Liman,-,-,English,154,7.8,Action
Dawn of the Planet of the Apes,Dawn of the Planet of the Apes is a 2014 American science fiction film directed by Matt Reeves and written by Mark Bomback# Rick Jaffa and Amanda Silver. It stars Andy Serkis# Jason Clarke# Gary Oldman# Keri Russell# Toby Kebbell# and Kodi Smit-McPhee. It is the sequel to the 2011 film Rise of the Planet of the Apes# which began 20th Century Fox's reboot of the original Planet of the Apes series. Dawn is set ten years after the events of Rise# and follows a group of people in San Francisco who struggle to stay alive in the aftermath of a plague that is wiping out humanity# while Caesar tries to maintain dominance over his community of intelligent apes.Dawn of the Planet of the Apes was released in the United States and Canada on July 11# 2014 and was met with positive reception# with critics praising its visual effects# story# direction# acting and emotional depth. It was also a box office success# having grossed over $710 million worldwide# and received an Academy Award nomination for Best Visual Effects. A third installment# titled War for the Planet of the Apes# is set to be released on July 14# 2017.,https://upload.wikimedia.org/wikipedia/en/7/77/Dawn_of_the_Planet_of_the_Apes.jpg,26-06-2014,Matt Reeves,-,-,English,190,8.6,Action
The Imitation Game,The Imitation Game is a 2014 American historical drama thriller film directed by Morten Tyldum# with a screenplay by Graham Moore loosely based on the biography Alan Turing: The Enigma by Andrew Hodges (previously adapted as the stage play and BBC drama Breaking the Code).,https://upload.wikimedia.org/wikipedia/en/5/5e/The_Imitation_Game_poster.jpg,29-08-2014,Morten Tyldum,Graham Moore,-,English,108,8.8,Tragedy
22 Jump Street,22 Jump Street is a 2014 American action comedy film directed by Phil Lord and Christopher Miller# written by Jonah Hill# Michael Bacall# Oren Uziel and Rodney Rothman and produced by and starring Hill and Channing Tatum. It is the sequel to the 2012 film 21 Jump Street# based on the television series of the same name. The film was released on June 13# 2014# by Columbia Pictures and Metro-Goldwyn-Mayer. The film received positive reviews and earned over $331 million at the box office.A crossover with Men in Black# MIB 23# is in development# with Lord and Miller acting as producers# and James Bobin acting as the director. The crossover will replace a 23 Jump Street film.,https://upload.wikimedia.org/wikipedia/en/1/1d/22_Jump_Street_Poster.png,04-06-2014,-,-,-,English,187,8.5,Tragedy
The Grand Budapest Hotel,The Grand Budapest Hotel is a 2014 comedy film written and directed by Wes Anderson# from a story by Anderson and Hugo Guinness# inspired by the writings of Stefan Zweig. It stars Ralph Fiennes as a concierge who teams up with one of his employees (Tony Revolori) to prove his innocence after he is framed for murder.The film is an American-German-British co-production that was financed by German financial companies and film-funding organizations. It was filmed in Germany. The Grand Budapest Hotel was released to widespread acclaim from film critics# and many included it in their year-end top 10 lists. The film led the BAFTA nominations# with 11 nominations# more than any other film# including Best Film and Best Director for Anderson# and Best Actor for Fiennes. The film won the Golden Globe Award for Best Motion Picture  €“ Musical or Comedy and garnered three more Golden Globe Award nominations# including Best Director for Anderson. It also garnered nine Academy Award nominations# the joint most (with Birdman) for the ceremony# including Best Picture and Best Director.,https://upload.wikimedia.org/wikipedia/en/a/a6/The_Grand_Budapest_Hotel_Poster.jpg,10-06-2016,Wes Anderson,-,-,English,194,8.9,Romance
