RangiTaranga,"RangiTaranga (English: Colourful Wave) is a 2015 Indian Kannada mystery thriller film written and directed by Anup Bhandari in his debut, and produced by H. K. Prakash. It features debutantes Nirup Bhandari, Avantika Shetty and Radhika Chethan, and Saikumar in the lead roles. Anup Bhandari said that in writing story for the film, he took inspiration from ""Dennana Dennana"", a track that featured as the theme song in the 1990s Kannada television soap Guddada Bhoota. In addition to directing the film, Bhandari also scored for its soundtrack, also penning its lyrics. It featured cinematography by US-based cinematographers Lance Kaplan and William David, the former of who, had previously collaborated with Bhandari on a short film.",https://upload.wikimedia.org/wikipedia/en/4/47/2015_Kannada_film_Rangitaranga_poster.jpg,03-07-2015,H. K. Prakash,Anup Bhandari,Anup Bhandari,Kannada,161,7,Action
Rathavara,"Rathaavara  is an 2015 Indian Kannada action thriller film written and directed by Chandrashekar Bandiyappa and produced by Dharmashree Manjunath. It stars Sri Murali and Rachita Ram in the lead roles. The supporting cast features P. Ravi Shankar, Chikkanna, Sadhu Kokila and Charan Raj among others. The film's music is composed by Dharma Vish and cinematography is by Bhuvan Gowda of Ugraam fame.The principal photography of the film bega n in December 2014 at locations such as Bangalore, Mysore, Mangalore and Gadag. The film is expected to release before December 2015.",http://img.nowrunning.com/content/Movie/2015/Rathavara/stills/Rathavara-movie-09.jpg?fbrefresh=120122647321,04-12-2015,Dharmashree Manjunath. N,Chandrashekar Bandiyappa,Chandrashekhar Bandiyappa,Kannada,99,9.4,Comedy
Rana Vikrama,"Rana Vikrama is a 2015 Indian Kannada action thriller film directed by Pavan Wadeyar featuring Puneeth Rajkumar, Anjali and Adah Sharma in the lead roles. The film was successful all over the world. The film released on 10 April 2015.Audio of the movie released on 21 March 2015. Puneeth Rajkumar played a double role in the movie, though both the roles never appear together onscreen.",https://upload.wikimedia.org/wikipedia/en/1/1f/Kannada_Movie_Ranavikrama_poster.jpg,10-04-2015,Jayanna,Pavan Wadeyar,Pavan Wadeyar,Kannada,133,7.9,Tragedy
Vajrakaya,"Vajrakaya (Kannada: ???????) is a 2015 Indian Kannada drama film directed by Harsha. It stars Shiva Rajkumar, Nabha Natesh and Karunya Ram in the lead roles, with Avinash, Ravi Kale and Suman as supporting cast.",https://upload.wikimedia.org/wikipedia/en/2/22/Kannada_film_Vajrakaya_promotional_poster.jpg,12-06-2015,C. R. Manohar,,Harsha,Kannada,129,9.2,Comedy
Bullet Basya,"Bullet Basya is a 2015 Indian Kannada comedy film directed by Jayatheertha, and stars Sharan and Haripriya in the lead roles. The supporting cast features Rangayana Raghu, Sadhu Kokila and Yathiraj Jaggesh. The title of the film was taken from Sudheer's character in the 1989 Kannada film C.B.I. Shankar. The makers however confirmed that there was connection between the two.",https://upload.wikimedia.org/wikipedia/en/6/62/2015_Kannada_film_Bullet_Basya_poster.jpg,24-07-2015,Jayanna,,Jayatheertha,Kannada,97,7.1,Thriller
Muddu Manase,"Muddu Manase (Kannada: ?????? ????) is a 2015 Indian Kannada romance drama film directed by Ananth Shain. It stars Aru Gowda, Nithya Ram and Aishwarya Nag in lead roles, the former two of who, made their debuts with the film. Achyuth Kumar, Padmaja Rao and Padmini Prakash feature in supporting roles. The film tells the story of a love triangle around Suresh (Gowda), and how he goes about dealing with his old lover as he falls in love with another girl in different circumstances and time. The title of the film which translates to ""sweet mind"", was taken from a track of the 2002 Kannada film Majestic.
The film score and soundtrack were composed by debutante Vineeth Raj Menon, and lyrics for each of the six tracks in the film were penned six directors of Kannada cinema. Upon theatrical release on 28 August 2015, the film received mixed reviews from critics. The film's music, cinematography and the acting performance of Gowda received praise, and the screenplay was criticized.",https://upload.wikimedia.org/wikipedia/en/0/0b/2015_Kannada_film_Muddu_Manase_poster.jpg,28-08-2015,Ramesh,,Ananth Shain,Kannada,135,7.1,Tragedy
Bharjari,Bharjari is an upcoming Indian Kannada romance film written and directed by Chethan Kumar (Director). It stars dhruva sarja and rachitha ram in the lead roles.[1] The supporting cast features Srinivasa Murthy and P. Ravi Shankar.,https://upload.wikimedia.org/wikipedia/en/6/61/Kannada_film_Bharjari_promotional_poster.jpg,28-08-2015,R. Srinivas,,Chethan Kumar (Director),Kannada,173,8.4,Action
Rangan Style,"Rangan Style is a Kannada Romantic Comedy Drama film written and directed by Prashanth S starring Pradeep and Kannika Tiwari in the lead roles. This film also starring Sudeep in an important guest role and also starring Rekha Das, Sadhu Kokila, Gurukiran, Sharath Lohitashwa, Tabla Nani and others. Film produced by Orange brothers under the banner Orange cinemas.",https://upload.wikimedia.org/wikipedia/en/1/12/Rangan_Style_Poster.jpg,21-03-2014,Orange Brothers,Prashanth S,Prashanth S,Kannada,192,5,Romance
Endendu Ninagagi,"Endendu Ninagagi is a 2014 Kannada drama film directed by Mahesh Rao. A remake of the Tamil film Engaeyum Eppothum, it features newcomer Vivek Narasimhan, Deepa Sannidhi, Anish Tejeshwar and Sindhu Lokanath in the lead roles.",https://upload.wikimedia.org/wikipedia/en/3/3e/Endendu_Ninagagi_Album_Cover.jpg,11-04-2014,A. Narasimhan,M. Saravanan,Mahesh Rao,Kannada,108,5.7,Action
Varadhanayaka,"Varadhanayaka is a 2013 Kannada action film starring Chiranjeevi Sarja and Nikeesha Patel in the lead roles. Actor Sudeep plays an important role of a police officer. Sameera Reddy is his pair in the film. This film marks the Kannada debut of Sameera Reddy, an established Bollywood and Kollywood actress. The film is directed by Ayyappa P. Sharma. Arjun Janya is the music director of the film. Shankare Gowda has produced the venture under Shankar Productions banner.It is also dubbed in Hindi as Ek Tha Nayak. The film is a remake of Telugu film Lakshyam which starred Gopichand, Jagapathi Babu and Anushka Shetty.",https://upload.wikimedia.org/wikipedia/en/4/4d/Varadhanayaka.jpg,28-04-2013,Shankar Gowda,Srivas,Ayyappa P. Sharma,Kannada,108,9.1,Romance
