Ohm Shanthi Oshaana,Ohm Shanthi Oshaana is a 2014 Malayalam coming-of-age romantic comedy film co-written and directed by Jude Anthany Joseph. The story was conceived by Midhun Manuel Thomas and he wrote the screenplay along with the director. It stars Nivin Pauly|,https://upload.wikimedia.org/wikipedia/en/a/ae/Ohm Shanthi Oshaana %282014%29 - Poster.jpg,7 February 2014 (2014-02-07),Alvin Antony,Jude Anthany Joseph,Malayalam,Nivin Pauly|Nazriya Nazim|Aj Varghese,192,6.7
Picket 43,Picket 43 is a 2015 Malayalam-language Indian drama film written and directed by Major Ravi. It stars Prithviraj and Javed Jaffrey in the lead roles. It was filmed by cinematographer Jomon T. John and most portions of the film were shot in Kashmir. The film dealt with the story of an Indian army soldier guarding a picket alone in Kashmir|,https://upload.wikimedia.org/wikipedia/en/a/a3/Picket43.jpeg,23 January 2015 (2015-01-23),OGEE,Major Ravi,Major Ravi,Malayalam,Prithviraj|Javed Jaffrey,112,8.9
Bangalore Days,Bangalore Days is a 2014 Indian Malayalam-language romantic-comedy drama film written and directed by Anjali Menon|,https://upload.wikimedia.org/wikipedia/en/5/5c/%27Bangalore Days%27 2014 Malayalam Film - Poster.jpg,30 May 2014 (2014-05-30),Anwar Rasheed,Anjali Menon,Anjali Menon,Malayalam,Nazriya Nazim|Nivin Pauly|Dlqer Salmaan|Fahadh Faasil|Isha Talwar|Parvathy|Nithya Menen,124,6.6
Premam,Premam (English: Love) is a 2015 Indian Malayalam coming-of-age musical-romantic comedy film written|,https://upload.wikimedia.org/wikipedia/en/3/32/Premam film poster.jpg,29 May 2015 (2015-05-29) (India),Anwar Rasheed,Alphonse Puthren,Alphonse Puthren,Malayalam,Nivin Pauly|Madonna Sebastian|Sai Pallavi|Anpama Parameswaran|Shabareesh Varma|,196,6.1
Oppam,Oppam (English: Together) is a 2016 Indian Malayalam crime thriller film scripted and directed by Priyadarshan|,https://upload.wikimedia.org/wikipedia/en/b/b2/Oppam film poster.jpg,8 September 2016 (2016-09-08) (India),Antony Perumbavoor,Priyadarshan,Malayalam,Mohanlal|Vimala Rama|Anusree,187,1.1
Oru Vadakkan Selfie,Oru Vadakkan Selfie (English: A Northern Selfie) is a 2015 Malayalam comedy thriller road film directed by G. Prajith and scripted by Vineeth Sreenivasan. The film features Nivin Pauly|,https://upload.wikimedia.org/wikipedia/en/f/f8/Oru Vadakkan Selfie First Look Poster.jpg,27 March 2015 (2015-03-27),Vinod Shornur,Vineeth Sreenivasan,G. Prajith,Malayalam,Nivin Pauly|Manjima Mohan|Aju Varghese|Neeraj Madhav,197,5.8
Bharatham,Bharatham (Malayalam: ????) is a 1991 Malayalam musical-drama film written by A. K. Lohithadas|,https://upload.wikimedia.org/wikipedia/en/5/51/Bharatham.jpg,29 March 1991 (1991-03-29),Mohanlal,A. K. Lohithadas,Sibi Malayil,Malayalam,Mohanlal|Urvashi|Nedmdi Ven|Lakshmi|Mrali|Biyon,133,3.9
Sandhesam,Sandhesam (English: The Message) is a 1991 Malayalam black comedy-political satire film written by Sreenivasan and directed by Sathyan Anthikkad|,https://upload.wikimedia.org/wikipedia/en/3/3d/Sandhesham.gif,29 March 1991 (1991-03-29),S. S. T. Subrahmaniam,Sreenivasan,Sathyan Anthikkad,Malayalam,Sreenivasan|Jayaram|Thilakan|Siddiqe|Kaviyoor Ponnamma|Maath|Biyon,136,9.8
Manichitrathazhu,Manichitrathazhu (English: The Ornate Lock) is a 1993 Indian Malayalam-language psychological thriller film directed by Fazil|,https://upload.wikimedia.org/wikipedia/en/6/6e/Manichitrathazhu film poster.jpg,25 December 1993 (1993-12-25),Swargachitra Appachan,Madhu Muttam, 
 ,Malayalam,Mohanlal|Shobana|Suresh Gopi,177,7.2
Ustad Hotel,Ustad Hotel is a 2012 Indian Malayalam-language drama film directed by Anwar Rasheed|,https://upload.wikimedia.org/wikipedia/en/6/64/Ustad Hotel %282012%29 - Poster.jpg,13 July 2012 (2012-07-13) (Kerala),Listin Stephen,Anjali Menon,Anwar Rasheed,Malayalam,Dlqer Salmaan|Thilakan|Nithya Menen|Siddiqe|Assim Jamal,170,8.6
22 Female Kottayam,22 Female Kottayam|,https://upload.wikimedia.org/wikipedia/en/c/ce/Female22.jpg,13 April 2012 (2012-04-13),O. G. Sunil,Abhilash S Kumar,Aashiq Abu,Malayalam,Rima Kallingal|Fahadh Faasil,115,9.2
Thattathin Marayathu,Thattathin Marayathu (English: Behind the Veil) is a 2012 Malayalam musical-romantic drama film written and directed by Vineeth Sreenivasan|,https://upload.wikimedia.org/wikipedia/en/e/ea/ThattathinMarayathu.jpg,6 July 2012 (2012-07-06) (Kerala),Mukesh,Vineeth Sreenivasan,Vineeth Sreenivasan,Malayalam,Nivin Pauly|Isha Talwar|Aj Varghese,123,7.1
Jacobinte Swargarajyam,Jacobinte Swargarajyam (English: Jacobs Kingdom of Heaven) is a 2016 Indian Malayalam-language biographical drama film written and directed by Vineeth Sreenivasan. Starring Nivin Pauly|,https://upload.wikimedia.org/wikipedia/en/1/10/Jacobinte Swargarajyam poster.jpg,8 April 2016 (2016-04-08)2,Noble Babu Thomas,Vineeth Sreenivasan,Malayalam,Nivin Pauly|Renji Panicker|Sreenath Bhasi,127,6.3
Iyobinte Pusthakam,Iyobinte Pusthakam (Translation: The Book of Iyob) is 2014 Indian Malayalam-language action drama film directed|,https://upload.wikimedia.org/wikipedia/en/1/11/Iyobinte Pusthakam 2014 Malayalam film poster.jpg,7 November 2014 (2014-11-07),Amal Neerad,Gopan Chithambaran,Amal Neerad,Malayalam,Fahadh Faasil|Lal|Jayasrya|Isha Sharvani|Padmapriya|Reen Mathews|Chemban Vinod Jose|Jin Joseph|Lena Abhilash|Vinayakan|Sreejith Ravi,192,7
Vikramadithyan,Vikramadithyan is a 2014 Malayalam coming of age film co-produced and directed by Lal Jose. The film stars |,https://upload.wikimedia.org/wikipedia/en/5/57/Vikramadithyan.jpeg,25 July 2014 (2014-07-25)1,Lal Jose,Dr. Iqbal Kuttippuram,Lal Jose,Malayalam,Unni Mkndan|Nivin Pauly|Namitha Pramod|Santhosh Keezhattoor|Dlqer Salmaan,200,5.5
