Leonardo DiCaprio,"Leonardo Wilhelm DiCaprio (/d??kæpri.o?/; born November 11  1974) is an American actor and a film producer. In the early 1990s  DiCaprio began his career by appearing in television commercials  after which he had recurring roles in various television series such as the soap opera  Santa Barbara  and the sitcom  Growing Pains. In 1993  he began his film career by starring as Josh in Critters 3 (1991). He starred in the film adaptation of the memoir  This Boy's Life (1993)  and was praised for his supporting role in What's Eating Gilbert Grape (1993). He gained public recognition with leading roles in The Basketball Diaries (1995)  and the romantic drama Romeo + Juliet (1996)  before achieving international fame with James Cameron's epic romance  Titanic (1997)  which became the highest-grossing film to that point and is the second highest-grossing film of all time.
Since 2000  DiCaprio has received critical acclaim for his work in a wide range of film genres. DiCaprio's subsequent films include  The Man in the Iron Mask (1998)  the biographical crime drama Catch Me If You Can (2002)  and the epic historical drama Gangs of New York (2002)  which marked his first of many collaborations with director  Martin Scorsese. He was acclaimed for his performances in the political war thriller Blood Diamond (2006)  the neo-noir crime drama The Departed (2006)  the espionage thriller Body of Lies (2008)  the drama Revolutionary Road (2008)  the psychological thriller Shutter Island (2010)  the science fiction thriller Inception (2010)  the biographical film J. Edgar (2011)  the western Django Unchained (2012)  and the period drama The Great Gatsby (2013).",https://upload.wikimedia.org/wikipedia/commons/3/3f/Leonardo_DiCaprio_visited_Goddard_Saturday_to_discuss_Earth_science_with_Piers_Sellers_%2826105091624%29_cropped.jpg,Battery Park City  New York, 1974-11-11 
Tim Robbins,"Timothy Francis \"Tim\" Robbins (born October 16  1958) is an American actor  screenwriter  director  producer  activist  and musician. He is well known for his portrayal of Andy Dufresne in the prison drama film The Shawshank Redemption (1994). His other roles include Nuke LaLoosh in Bull Durham  Jacob Singer in Jacob's Ladder  Griffin Mill in The Player  and Dave Boyle in Mystic River  for which he won an Academy Award for Best Supporting Actor  and for directing films such as Dead Man Walking.",https://upload.wikimedia.org/wikipedia/commons/1/18/TimRobbinsTIFFSept2012.jpg,Pound Ridge  New York, 1958-10-16 
A. Brooks,Albert Lawrence Brooks (born Albert Lawrence Einstein; July 22  1947) is an American actor  filmmaker and comedian. He received an Academy Award nomination for Best Supporting Actor for 1987's Broadcast News. His voice acting credits include Marlin in Finding Nemo (2003) and Finding Dory (2016)  and recurring guest voices for The Simpsons  including Russ Cargill in The Simpsons Movie (2007). Additionally  he has directed  written  and starred in several comedy films  such as Modern Romance (1981)  Lost in America (1985)  and Defending Your Life (1991) and is the author of 2030: The Real Story of What Happens to America (2011).,https://upload.wikimedia.org/wikipedia/commons/5/52/Albert_Brooks_at_%27Drive%27_premiere_TIFF_9.10.11.jpg,, 1947-07-22 
A.J. Bckley,"Alan John \"A. J.\" Buckley (born February 9  1978) is an Irish-born Canadian actor.",http://vignette4.wikia.nocookie.net/tmnt2012series/images/c/cf/A.J._Buckley.jpg/revision/latest?cb=20150324140820,, 1978-02-09 
Albert Brooks,Albert Lawrence Brooks (born Albert Lawrence Einstein; July 22  1947) is an American actor  filmmaker and comedian. He received an Academy Award nomination for Best Supporting Actor for 1987's Broadcast News. His voice acting credits include Marlin in Finding Nemo (2003) and Finding Dory (2016)  and recurring guest voices for The Simpsons  including Russ Cargill in The Simpsons Movie (2007). Additionally  he has directed  written  and starred in several comedy films  such as Modern Romance (1981)  Lost in America (1985)  and Defending Your Life (1991) and is the author of 2030: The Real Story of What Happens to America (2011).,https://upload.wikimedia.org/wikipedia/commons/5/52/Albert_Brooks_at_%27Drive%27_premiere_TIFF_9.10.11.jpg,, 1947-07-22 
Alan Tdyk,"Alan Wray Tudyk (/?tu?d?k/ TOO-dik; born March 16  1971) is an American actor and voice actor known for his roles as Hoban \"Wash\" Washburne in the space western television series Firefly and movie Serenity  Alpha in the science fiction TV series Dollhouse  Tucker McGee in Tucker & Dale vs. Evil  Steve the Pirate in DodgeBall: A True Underdog Story and Wat in A Knight's Tale. He also co-starred on the ABC sitcom Suburgatory. He also had a supporting role in the film 42 as baseball manager Ben Chapman  and voiced significant roles in Walt Disney Animation Studios' Wreck-It Ralph  Frozen  Big Hero 6 and Zootopia. Most recently  he has finished development on the web series Con Man also recently played Marcus in Maze Runner: The Scorch Trials and recently finished shooting on Rogue One: A Star Wars Story.",https://upload.wikimedia.org/wikipedia/commons/7/79/Alan_Tudyk_by_Gage_Skidmore_2.jpg,, 1971-03-16 
Alferdo James,"Alfredo James \"Al\" Pacino (/p??t?i?no?/; born April 25  1940) is an American actor of stage and screen  filmmaker  and screenwriter. Pacino has had a career spanning more than fifty years  during which time he has received numerous accolades and honors both competitive and honorary  among them an Academy Award  two Tony Awards  two Primetime Emmy Awards  a British Academy Film Award  four Golden Globe Awards  the Lifetime Achievement Award from the American Film Institute  the Golden Globe Cecil B. DeMille Award  and the National Medal of Arts. He is also one of few performers to have won a competitive Oscar  an Emmy and a Tony Award for acting  dubbed the \"Triple Crown of Acting\".
A method actor and former student of the HB Studio and the Actors Studio in New York City  where he was taught by Charlie Laughton and Lee Strasberg  Pacino made his feature film debut with a minor role in Me  Natalie (1969) and gained favorable notices for his lead role as a heroin addict in The Panic in Needle Park (1971). He achieved international acclaim and recognition for his breakthrough role as Michael Corleone in Francis Ford Coppola's The Godfather (1972). He received his first Oscar nomination and would reprise the role in the equally successful sequels The Godfather Part II (1974) and The Godfather Part III (1990). Pacino's performance as Corleone is now regarded as one of the greatest screen performances in film history.
Pacino received his first Best Actor Oscar nomination for Serpico (1973); he was also nominated for The Godfather Part II  Dog Day Afternoon (1975) and ...And Justice for All (1979) and won the award in 1993 for his performance as a blind Lieutenant Colonel in Scent of a Woman (1992).",https://upload.wikimedia.org/wikipedia/commons/9/98/Al_Pacino.jpg,, 1940-04-25 
Agnes Mooreheead,"Agnes Robertson Moorehead (December 6  1900 – April 30  1974) was an American actress whose career of six decades included work in radio  stage  film  and television. She is chiefly known for her role as Endora on the television series Bewitched. She was also notable for her film roles in Citizen Kane  The Magnificent Ambersons  All That Heaven Allows  Show Boat and Hush… Hush  Sweet Charlotte.
While rarely playing lead roles  Moorehead's skill at character development and range earned her one Primetime Emmy Award and two Golden Globe awards in addition to four Academy Award and six Emmy Award nominations. Moorehead's transition to television won acclaim for drama and comedy. She could play many different types  but often portrayed haughty  arrogant characters.",https://en.wikipedia.org/wiki/Agnes_Moorehead#/media/File:Agnes_Moorehead_Bewitched_1969.JPG,, 1900-12-06 
