Ohm Shanthi Oshaana,Ohm Shanthi Oshaana is a 2014 Malayalam coming-of-age romantic comedy film co-written and directed by Jude Anthany Joseph. The story was conceived by Midhun Manuel Thomas and he wrote the screenplay along with the director. It stars Nivin Pauly#,https://upload.wikimedia.org/wikipedia/en/a/ae/Ohm Shanthi Oshaana %282014%29 - Poster.jpg,07-02-2014,Alvin Antony,,Jude Anthany Joseph,Malayalam,192,6.7,Action
Picket 43,Picket 43 is a 2015 Malayalam-language Indian drama film written and directed by Major Ravi. It stars Prithviraj and Javed Jaffrey in the lead roles. It was filmed by cinematographer Jomon T. John and most portions of the film were shot in Kashmir. The film dealt with the story of an Indian army soldier guarding a picket alone in Kashmir#,https://upload.wikimedia.org/wikipedia/en/a/a3/Picket43.jpeg,23-01-2015,OGEE,Major Ravi,Major Ravi,Malayalam,112,8.9,Comedy
Bangalore Days,Bangalore Days is a 2014 Indian Malayalam-language romantic-comedy drama film written and directed by Anjali Menon#,https://upload.wikimedia.org/wikipedia/en/5/5c/%27Bangalore Days%27 2014 Malayalam Film - Poster.jpg,30-05-2014,Anwar Rasheed,Anjali Menon,Anjali Menon,Malayalam,124,6.6,Tragedy
Premam,Premam (English: Love) is a 2015 Indian Malayalam coming-of-age musical-romantic comedy film written#,https://upload.wikimedia.org/wikipedia/en/3/32/Premam film poster.jpg,29-05-2015,Anwar Rasheed,Alphonse Puthren,Alphonse Puthren,Malayalam,196,6.1,Comedy
Oppam,Oppam (English: Together) is a 2016 Indian Malayalam crime thriller film scripted and directed by Priyadarshan#,https://upload.wikimedia.org/wikipedia/en/b/b2/Oppam film poster.jpg,08-09-2016,Antony Perumbavoor,,Priyadarshan,Malayalam,187,1.1,Thriller
Oru Vadakkan Selfie,Oru Vadakkan Selfie (English: A Northern Selfie) is a 2015 Malayalam comedy thriller road film directed by G. Prajith and scripted by Vineeth Sreenivasan. The film features Nivin Pauly#,https://upload.wikimedia.org/wikipedia/en/f/f8/Oru Vadakkan Selfie First Look Poster.jpg,27-03-2015,Vinod Shornur,Vineeth Sreenivasan,G. Prajith,Malayalam,197,5.8,Tragedy
Bharatham,Bharatham (Malayalam: ????) is a 1991 Malayalam musical-drama film written by A. K. Lohithadas#,https://upload.wikimedia.org/wikipedia/en/5/51/Bharatham.jpg,29-03-1991,Mohanlal,A. K. Lohithadas,Sibi Malayil,Malayalam,133,3.9,Action
Sandhesam,Sandhesam (English: The Message) is a 1991 Malayalam black comedy-political satire film written by Sreenivasan and directed by Sathyan Anthikkad#,https://upload.wikimedia.org/wikipedia/en/3/3d/Sandhesham.gif,29-03-1991,S. S. T. Subrahmaniam,Sreenivasan,Sathyan Anthikkad,Malayalam,136,9.8,Romance
Manichitrathazhu,Manichitrathazhu (English: The Ornate Lock) is a 1993 Indian Malayalam-language psychological thriller film directed by Fazil#,https://upload.wikimedia.org/wikipedia/en/6/6e/Manichitrathazhu film poster.jpg,25-12-1993,Swargachitra Appachan,Madhu Muttam,"
",Malayalam,177,7.2,Action
Ustad Hotel,Ustad Hotel is a 2012 Indian Malayalam-language drama film directed by Anwar Rasheed#,https://upload.wikimedia.org/wikipedia/en/6/64/Ustad Hotel %282012%29 - Poster.jpg,13-07-2012,Listin Stephen,Anjali Menon,Anwar Rasheed,Malayalam,170,8.6,Romance
